zeta,lambda,M_max,omega_M_max,Q_max,C_eff_max,R99_M_max,B_min
-0.13,0,0.78596,0.69006,1.00671,0.11099,9.781,-0.024835307
-0.13,5,1.03751,0.67723,1.34535,0.12583,10.2391,-0.046017759
-0.13,10,1.24844,0.67415,1.62876,0.13537,11.16366,-0.063348402
-0.13,15,1.43054,0.67244,1.87291,0.14208,12.05523,-0.077887865
-0.13,20,1.59263,0.67105,2.08992,0.14716,12.88063,-0.090564955
-0.12,-20,0.31869,0.80719,0.38726,0.02078,24.28866,-0.001645113
-0.12,-17.5,0.33797,0.8044,0.41096,0.02384,22.72587,-0.00196596
-0.12,-15,0.36119,0.80101,0.43958,0.02797,21.20085,-0.002417473
-0.12,-13.75,0.37473,0.79868,0.45629,0.03063,20.27144,-0.002702943
-0.12,-12.5,0.38987,0.79605,0.47503,0.03387,19.36295,-0.004363136
-0.12,-11.25,0.40697,0.79289,0.49622,0.03788,18.40834,-0.003493947
-0.12,-10,0.42646,0.78897,0.52045,0.04298,17.37817,-0.004042455
-0.12,-9.375,0.43728,0.78683,0.53392,0.04611,16.8908,-0.004372709
-0.12,-8.75,0.44892,0.78446,0.54845,0.04974,16.36499,-0.004746677
-0.12,-8.125,0.4615,0.78139,0.56418,0.05402,15.81468,-0.005176335
-0.12,-7.5,0.47513,0.77822,0.58125,0.05917,15.25108,-0.005672674
-0.12,-6.875,0.48995,0.77495,0.59987,0.06547,14.73832,-0.00624804
-0.12,-6.25,0.50612,0.77074,0.62023,0.07352,14.11846,-0.006919594
-0.12,-5.625,0.52381,0.76638,0.64258,0.08468,13.56202,-0.007713022
-0.12,-5,0.54322,0.76104,0.66718,0.0937,12.93713,-0.008654865
-0.12,-4.375,0.56454,0.75493,0.6943,0.09449,12.31124,-0.009767721
-0.12,-3.75,0.58793,0.74829,0.7242,0.09626,11.72134,-0.011108381
-0.12,-3.125,0.61349,0.74108,0.75702,0.09852,11.16527,-0.012694379
-0.12,-2.5,0.64117,0.73271,0.79272,0.10099,10.58986,-0.014554354
-0.12,-1.875,0.67069,0.72538,0.83098,0.1036,10.18091,-0.016677071
-0.12,-1.25,0.70158,0.71897,0.87118,0.10618,9.88119,-0.019035856
-0.12,-0.625,0.73328,0.71336,0.91256,0.10861,9.67092,-0.021564159
-0.12,0,0.76526,0.7086,0.95439,0.11098,9.52006,-0.024184688
-0.12,5,1.00429,0.69539,1.2677,0.12552,9.93408,-0.044315381
-0.12,10,1.20555,0.69219,1.53103,0.13495,10.80959,-0.060872379
-0.12,15,1.37966,0.69063,1.75834,0.14164,11.67563,-0.074788163
-0.12,20,1.53483,0.68935,1.96063,0.14668,12.47555,-0.086949878
-0.11,-20,0.31471,0.82608,0.37338,0.02134,23.34209,-0.001661799
-0.11,-17.5,0.33369,0.8233,0.39616,0.02449,21.86245,-0.001986769
-0.11,-15,0.35652,0.81964,0.42364,0.02874,20.34145,-0.002439556
-0.11,-13.75,0.36982,0.81721,0.43967,0.03148,19.46496,-0.002730545
-0.11,-12.5,0.38469,0.81454,0.45764,0.03481,18.63434,-0.003086859
-0.11,-11.25,0.40146,0.8114,0.47795,0.03894,17.77517,-0.003525899
-0.11,-10,0.42056,0.80725,0.50114,0.04421,16.76506,-0.004075216
-0.11,-9.375,0.43115,0.80503,0.51403,0.04744,16.2978,-0.004403259
